gpa_first_semester,gpa_current,credit_hours_completed,credit_hours_attempted,course_withdrawal_count,financial_aid_amount,unmet_financial_need,is_first_generation,is_pell_eligible,campus_housing,extracurricular_count,advisor_meetings_per_semester,declared_major,distance_from_home_miles,age_at_enrollment,high_school_gpa,sat_score,num_absences_current_semester,part_time_work_hours,library_visits_per_month,target
2.83,3.18,42,44,2,4797.39,1378.24,0,0,1,3,1,1,176.9,23,3.7,822,4,1.5,4,0
2.97,3.04,56,59,0,23462.21,55.37,1,0,1,1,0,1,151.8,17,3.18,1133,3,1.9,5,0
3.19,2.77,40,44,1,4842.01,1248.6,1,1,1,0,1,1,86.5,18,2.74,1083,4,8.6,2,0
3.15,2.93,37,44,3,7554.18,516.19,0,0,0,0,3,1,108.5,18,3.9,1408,4,8.4,8,0
3.11,2.88,42,45,0,7235.53,1197.63,0,1,0,1,2,1,134.1,17,3.45,1174,3,5.2,5,0
2.56,2.66,54,57,1,1528.35,169.28,1,1,1,2,2,0,22.2,18,2.76,1345,0,1.4,7,0
2.61,3.1,43,49,0,2150.72,11367.08,1,1,0,3,0,1,124.8,17,2.87,836,4,4.8,3,1
1.37,1.52,49,51,0,6550.76,5999.22,0,1,1,3,2,0,90.0,19,3.61,980,5,23.3,5,1
3.01,3.62,38,39,1,14027.59,2573.33,1,1,0,1,0,1,29.9,19,3.14,1079,3,0.4,3,0
3.14,3.32,46,49,0,3196.67,443.9,1,0,0,5,0,0,238.7,22,2.55,1092,4,1.5,4,1
1.92,2.14,50,55,0,12492.93,230.65,0,1,1,5,3,1,74.9,18,3.32,1000,8,3.2,0,0
3.26,3.17,39,43,0,2523.92,3191.86,1,0,0,5,2,0,53.2,19,2.57,1232,2,5.8,7,0
2.94,3.43,43,45,0,766.09,1568.42,0,0,0,2,0,1,70.3,17,3.27,1340,4,4.6,6,0
1.36,2.6,37,39,2,15912.57,3147.27,1,0,1,3,0,1,26.1,24,3.09,915,6,6.9,4,0
1.81,1.91,42,50,0,3432.93,1347.17,1,0,0,2,0,0,120.1,17,3.03,1235,0,3.5,5,1
2.65,2.82,51,55,1,6459.4,2678.19,0,0,0,1,1,0,22.9,21,2.41,954,4,0.8,7,1
2.63,2.83,42,43,2,24726.29,8846.02,1,1,0,1,1,1,6.1,23,2.7,1137,5,4.0,5,1
3.08,3.45,43,47,2,10860.42,2879.81,0,0,1,0,0,0,266.2,17,2.36,935,2,17.0,4,0
3.12,3.18,49,53,1,4125.33,1875.16,0,0,0,3,2,1,172.7,18,2.52,1260,5,3.9,4,1
2.46,2.67,41,44,0,10902.33,6701.34,1,0,0,1,2,1,57.5,20,2.98,897,6,0.0,4,0
3.28,3.05,51,56,1,35566.33,1201.45,1,0,1,0,1,1,11.0,25,2.27,814,1,19.0,3,0
2.86,3.32,60,62,0,5382.13,4382.6,0,1,1,1,2,1,31.9,18,4.0,983,3,14.2,3,0
3.01,2.78,40,43,1,15941.43,492.49,1,0,0,0,2,0,25.9,17,2.76,1196,3,7.5,6,1
1.98,2.23,44,45,1,14854.95,9770.72,0,0,0,2,1,0,148.2,17,2.89,1043,8,0.7,9,1
3.47,2.75,52,54,1,22361.45,3373.72,0,0,0,0,2,0,15.2,20,3.92,1215,2,2.5,1,1
3.6,3.5,46,47,2,23028.3,528.0,0,0,1,2,1,1,29.6,17,3.3,1166,2,27.2,4,0
2.41,3.03,44,46,0,2590.51,2850.12,0,0,0,0,0,1,121.1,19,3.76,943,2,8.2,9,0
4.0,3.65,41,44,1,4804.42,325.27,0,0,1,2,3,1,53.0,19,3.66,1100,0,2.2,4,0
3.24,3.18,46,48,0,11620.19,7529.34,0,1,1,2,5,1,148.9,17,2.83,858,2,1.6,1,0
2.66,3.09,51,53,1,13871.89,1809.95,1,0,0,1,0,1,22.5,17,3.52,1212,4,7.3,5,1
1.61,1.69,50,53,1,7456.93,66.26,0,1,0,0,2,1,12.3,17,3.61,1240,2,9.5,2,0
4.0,3.5,51,55,0,3575.66,19629.84,0,0,0,0,2,0,19.3,21,3.07,934,1,21.9,4,1
3.29,2.94,50,56,0,3738.51,3911.51,0,1,0,3,2,1,56.3,21,3.1,1002,2,20.2,3,0
2.37,2.92,44,51,1,11391.73,25.03,1,1,1,3,2,1,211.8,17,3.35,1236,2,6.8,6,0
2.66,2.76,31,35,4,11068.48,1127.58,0,0,1,3,0,1,114.0,22,3.32,964,2,24.4,2,0
3.08,3.13,52,58,1,7115.09,1115.17,0,0,0,0,1,1,13.4,17,4.0,944,4,5.5,5,0
2.5,2.44,52,55,0,3622.28,4485.24,0,0,0,1,2,1,83.0,18,3.25,1354,6,5.5,6,0
2.94,3.21,48,50,0,1475.29,414.64,1,1,0,2,0,1,80.6,17,3.82,984,3,9.2,0,0
2.36,2.31,57,59,1,1567.1,3105.46,1,0,1,1,0,1,181.3,22,2.92,893,3,2.9,6,0
1.81,2.13,42,44,2,7426.56,5819.95,0,0,1,4,0,1,305.4,17,3.49,1179,3,0.2,8,0
4.0,3.1,42,46,1,8484.61,3442.16,0,1,1,1,1,1,15.3,21,2.99,1198,1,5.6,3,0
4.0,3.64,49,49,2,1508.86,635.42,0,0,0,0,0,1,74.3,23,4.0,1055,2,7.0,1,0
3.33,2.62,52,54,0,20190.78,5712.11,0,0,1,3,2,0,113.3,17,3.31,1051,4,2.4,3,1
2.58,2.92,47,47,0,398.82,532.41,0,0,0,1,3,1,10.6,20,3.21,1085,1,2.7,4,0
2.86,2.87,40,40,1,8713.69,2585.3,0,0,1,3,0,0,278.2,20,3.12,990,3,10.1,6,0
3.26,3.06,37,43,4,19411.92,578.2,0,0,1,1,0,1,10.6,19,2.95,1177,2,11.3,0,0
2.76,2.76,35,35,3,33668.8,2269.34,1,0,0,0,2,1,153.8,22,3.0,970,3,7.1,3,0
2.67,2.37,55,59,2,4895.36,3154.2,0,1,1,1,1,0,91.7,17,3.06,1415,0,28.6,4,0
2.63,2.58,54,56,2,7745.74,774.34,0,1,1,3,1,1,8.3,19,3.08,1415,2,0.8,8,0
4.0,3.46,45,47,4,3143.16,3705.32,0,0,0,0,0,1,153.8,20,3.2,901,5,18.9,2,0
2.49,3.19,47,50,0,1934.3,342.84,1,1,1,1,0,1,86.3,17,3.9,1449,1,10.5,3,1
2.43,2.68,53,54,1,6396.71,562.39,0,0,1,1,3,1,21.9,17,3.21,1087,3,2.3,6,0
2.22,2.02,47,50,1,2767.84,1739.18,1,0,0,0,0,1,184.8,17,2.64,1043,7,8.3,6,1
3.2,2.69,45,47,0,2036.18,3073.42,0,0,1,2,0,1,11.9,21,3.2,1181,6,7.5,4,0
2.73,3.66,45,50,0,9905.5,2823.15,0,0,0,0,1,1,556.8,21,4.0,1156,3,3.8,3,0
1.49,2.1,52,55,0,1487.11,588.49,1,1,1,3,3,0,32.7,22,3.74,1220,1,4.4,3,0
2.76,3.46,50,56,3,3955.54,495.74,0,1,1,0,0,0,192.3,19,3.87,1215,2,11.0,5,0
1.87,2.26,49,51,0,765.08,2746.14,0,0,0,1,1,1,18.9,17,3.48,1170,5,6.3,2,1
2.47,2.58,29,32,1,3235.33,1637.38,0,0,0,0,0,1,13.2,20,4.0,1154,4,38.0,1,0
2.45,2.71,38,39,1,8738.9,8601.85,1,0,1,3,0,0,11.7,17,3.5,1256,4,5.0,1,0
2.43,2.79,50,51,2,1113.74,1229.87,1,1,1,1,0,0,39.1,19,4.0,914,4,7.4,2,1
1.94,2.69,43,46,3,3111.81,1641.12,1,0,0,0,1,0,45.6,17,3.81,1134,2,1.1,7,0
2.93,2.77,46,47,2,2616.63,244.33,0,0,0,3,2,1,51.2,25,2.99,979,5,10.3,4,0
2.81,3.32,52,54,0,16274.83,3892.26,0,1,1,0,0,1,77.0,19,3.44,923,5,1.1,1,0
3.36,3.24,44,46,0,4947.22,2750.88,1,1,0,0,0,1,29.9,21,3.29,909,3,8.4,5,0
3.41,3.01,55,61,0,12469.32,2418.09,0,0,0,2,2,0,21.7,17,3.55,1161,3,3.5,2,1
3.19,3.29,46,51,2,2480.06,184.31,0,0,0,3,2,1,1309.0,22,3.23,1099,4,2.3,3,0
3.87,3.45,45,50,0,65000.0,64.18,0,1,1,3,0,0,258.0,21,2.89,1049,4,6.1,6,0
3.18,3.17,43,47,1,5138.65,2162.42,0,0,0,2,3,1,292.6,20,3.2,962,3,1.6,2,0
1.6,2.41,51,52,0,1897.39,1107.65,1,0,0,0,1,1,254.1,19,2.93,1130,3,12.2,3,0
2.87,2.66,57,62,1,26311.5,7779.66,1,1,1,2,0,1,47.3,17,2.91,1246,2,38.9,3,1
2.13,3.15,45,46,2,28307.76,2387.73,0,1,1,0,0,0,241.1,24,3.58,1101,4,16.8,4,0
2.31,2.81,50,54,2,1211.71,2903.4,0,0,1,2,1,1,304.6,17,4.0,1058,5,3.6,4,0
2.42,2.77,42,43,1,14198.95,1463.7,1,1,1,2,2,1,87.0,17,3.67,972,7,6.4,6,0
2.87,2.91,48,54,1,2052.99,3072.25,1,1,1,3,3,0,73.0,21,3.0,1187,5,6.9,1,0
3.18,2.88,47,48,1,7499.97,2250.3,1,0,1,0,0,1,138.8,17,3.25,1173,2,1.8,5,1
3.07,3.27,47,47,1,437.76,8124.62,0,0,1,2,1,1,17.9,23,3.26,1311,1,3.9,2,0
3.3,2.59,46,49,1,2340.47,3821.78,0,0,1,1,0,0,52.1,17,2.56,802,3,17.6,4,0
2.96,2.98,50,53,2,724.64,1135.76,0,0,1,0,2,0,94.2,20,2.95,1136,2,5.1,5,0
3.38,3.28,46,51,1,11216.01,285.85,0,0,0,2,2,0,74.4,18,2.79,1019,1,4.5,6,0
2.87,2.85,40,42,1,5933.79,1725.06,1,0,0,0,0,1,145.1,17,2.83,1120,7,1.0,3,0
2.8,3.35,46,47,0,8754.75,3785.17,0,1,1,2,2,1,86.0,18,2.95,1158,4,2.6,5,0
3.49,3.46,51,55,3,17191.02,2551.55,1,1,0,4,2,1,42.5,19,3.1,939,4,4.8,2,0
2.94,2.85,48,49,1,4854.71,5799.11,0,0,0,0,2,1,5.0,17,3.21,1314,6,12.6,5,0
2.94,3.23,55,61,0,13280.84,5715.63,0,0,0,1,3,0,114.6,18,3.1,885,3,2.2,4,1
3.03,2.63,47,49,1,47915.03,2783.83,0,1,0,1,0,1,24.9,18,3.41,1108,1,6.6,4,0
3.2,3.04,52,56,2,1879.94,1736.59,0,1,1,1,0,1,190.2,19,3.11,1196,4,1.3,2,1
2.76,3.15,47,50,2,39504.43,2643.72,0,0,0,1,1,0,92.5,17,3.57,1254,1,8.6,5,0
3.98,3.31,30,33,1,3243.34,1138.74,1,0,0,2,2,0,85.6,24,3.59,1058,5,15.4,4,0
1.96,2.45,44,49,0,16301.37,676.77,1,0,0,0,1,1,363.8,18,3.65,1153,4,2.8,7,0
3.81,3.55,48,49,0,8247.89,7290.46,1,1,0,2,0,1,198.3,22,3.07,965,1,9.7,3,0
3.3,2.98,46,49,3,2705.18,105.03,0,1,0,3,0,1,42.3,19,2.53,896,4,2.3,3,0
2.06,2.63,49,55,0,3958.47,8639.22,1,1,0,2,1,0,173.2,17,2.58,980,2,3.0,3,1
3.67,2.67,51,55,1,6224.46,253.07,0,1,1,2,0,1,73.4,19,2.83,929,2,0.1,5,0
3.33,2.55,48,53,1,810.35,1955.1,0,1,0,0,0,0,93.4,18,4.0,1000,3,4.1,3,1
1.54,2.55,40,41,0,17798.72,3612.49,1,0,0,1,1,1,32.8,17,3.06,1020,3,1.7,5,0
2.78,3.07,53,62,3,3620.75,17688.61,0,0,0,1,2,0,71.5,17,3.54,1213,5,1.8,3,0
2.97,2.76,50,51,1,4231.69,2602.74,0,0,0,3,1,1,20.5,20,2.91,1059,4,8.9,3,1
3.59,3.12,52,57,0,18704.04,2652.35,0,0,0,1,1,1,73.5,17,2.39,1088,5,7.4,4,0
2.81,2.55,49,53,2,2173.0,4021.31,0,1,0,1,2,1,116.3,19,3.21,1215,6,0.5,4,0
1.99,2.11,43,45,2,3298.02,3431.86,0,0,0,0,2,1,37.9,19,3.15,1137,2,13.8,5,0
2.87,2.85,45,49,1,7857.09,2278.11,0,0,1,2,2,1,14.9,23,2.25,969,3,4.6,2,0
1.51,2.04,32,35,3,12414.94,4228.07,0,1,0,2,1,0,9.2,17,2.76,929,2,20.4,2,0
2.66,2.93,41,45,0,15606.32,942.82,0,0,1,1,0,1,315.2,19,2.81,808,3,0.3,4,0
2.12,2.44,51,53,0,28075.29,4036.15,0,1,1,3,0,0,7.9,17,3.55,831,4,2.0,3,1
2.41,2.48,44,48,1,8782.21,2093.87,0,0,1,5,1,0,372.2,24,2.84,1369,2,2.5,2,1
2.74,3.1,44,45,1,10253.9,10203.04,1,0,0,1,1,1,29.5,25,3.56,818,1,2.8,6,0
2.99,3.1,53,56,1,2150.58,825.76,1,1,0,2,1,0,22.9,18,2.37,1076,5,10.6,2,0
3.26,3.5,55,61,0,5048.2,3613.47,0,0,0,2,1,1,123.4,17,2.97,1332,2,34.0,6,0
2.19,2.74,45,49,1,15245.26,969.61,0,1,0,2,0,0,65.2,19,3.45,808,3,10.1,6,0
2.26,2.72,42,45,2,14179.81,703.81,0,1,1,2,0,0,66.4,21,2.58,828,3,16.0,5,0
4.0,3.76,59,64,2,9952.44,3912.89,1,1,0,2,0,1,14.7,17,2.92,1231,3,6.9,2,0
3.4,3.3,48,50,4,4603.23,2554.45,1,1,0,0,1,1,53.0,24,3.7,1099,1,5.5,3,0
3.09,2.94,38,41,1,2294.21,145.71,1,0,1,2,0,1,392.1,18,3.28,1490,1,15.2,5,0
2.32,2.61,53,58,2,3131.59,1836.42,1,1,0,0,1,1,104.5,21,2.96,846,3,5.4,3,1
1.9,2.33,54,57,1,18494.16,17.03,1,0,0,1,2,1,7.7,20,3.54,1358,1,11.1,5,0
2.27,2.28,36,42,1,6716.67,4.46,1,1,1,1,1,0,330.4,18,3.19,1093,1,1.1,2,0
2.32,2.26,49,52,1,2342.13,3428.69,0,1,0,1,1,1,89.3,22,3.37,1180,2,1.6,6,1
2.54,2.74,39,43,0,7082.42,541.96,1,1,0,1,1,1,34.8,18,2.67,1038,4,6.3,2,0
2.27,3.13,40,43,3,1469.81,6806.92,0,0,1,3,1,1,148.6,20,3.62,1063,2,13.3,7,0
4.0,3.19,41,44,1,6480.41,188.18,0,0,1,0,1,1,24.1,24,2.99,1056,4,13.9,3,0
2.78,2.67,41,43,3,8632.46,3025.29,1,1,0,0,1,1,174.5,17,2.51,1214,5,7.6,1,0
3.05,3.21,48,49,0,6715.81,2277.02,1,0,1,1,1,0,57.0,19,3.24,1004,2,2.5,3,0
3.39,2.77,54,54,2,5997.19,2592.7,1,1,1,4,0,0,20.3,19,3.42,1195,1,11.3,4,0
3.13,2.75,50,51,2,10118.2,72.61,1,1,1,3,2,1,337.9,18,3.38,1145,2,0.6,1,0
2.64,2.96,36,39,0,12312.91,1843.07,1,0,1,1,1,1,395.1,19,2.44,991,3,3.5,4,0
2.16,2.85,45,48,0,21671.23,5292.63,0,0,0,0,0,1,30.6,24,2.5,1069,4,15.5,4,0
1.75,1.8,38,41,3,12555.51,203.14,0,0,0,1,1,1,14.0,17,3.38,1023,3,7.8,7,0
2.4,2.86,42,42,1,4545.17,923.39,0,0,0,0,2,0,53.4,19,3.77,1331,1,11.7,2,0
3.43,2.85,43,47,0,8715.82,4642.16,0,0,1,1,1,0,59.7,21,3.67,1021,2,14.0,2,0
2.02,1.84,38,41,2,15802.85,1576.69,0,1,1,1,3,0,24.2,26,2.87,1036,4,9.7,3,1
1.9,2.23,50,52,1,7062.91,9598.7,0,1,1,1,0,0,80.8,17,3.39,1129,3,7.1,5,0
2.79,3.28,44,50,2,6268.58,1371.5,1,0,1,0,1,1,153.2,17,2.88,1055,1,6.5,6,0
2.77,2.99,37,43,1,8118.34,341.93,0,1,0,2,1,1,261.8,23,3.4,1295,3,1.0,7,0
1.59,1.9,43,45,1,46552.53,621.19,0,1,0,1,1,0,32.3,19,3.24,1110,2,7.7,7,1
2.65,2.46,40,45,1,1449.41,763.43,1,1,0,2,1,1,22.0,17,2.61,956,4,1.4,1,0
3.68,3.03,49,50,1,7857.04,4871.33,0,1,1,1,1,1,388.2,22,2.7,757,3,5.1,3,0
2.39,2.1,50,51,2,8238.62,162.63,0,1,1,2,0,1,16.2,17,2.84,1070,2,27.8,4,0
2.54,2.92,32,38,3,3870.33,4018.26,1,0,1,0,0,1,61.1,17,3.28,1217,7,4.8,6,0
2.84,3.18,41,43,2,17314.62,1135.8,1,0,0,0,2,0,21.3,22,3.25,1184,3,5.0,5,0
4.0,3.85,36,40,1,1943.69,1116.1,1,0,0,3,1,0,1009.8,20,3.26,1307,4,6.8,1,0
1.87,2.27,35,39,4,4244.58,1550.41,1,1,1,1,2,0,91.4,17,3.37,959,1,0.4,5,0
1.57,2.04,50,52,2,19695.16,10097.12,0,1,1,0,1,1,16.7,23,3.61,1199,3,0.1,4,1
2.44,2.33,45,49,1,7864.78,1883.49,0,0,0,1,1,0,64.5,20,2.37,1223,2,0.7,4,0
1.87,2.7,47,49,1,1814.33,2810.88,1,0,1,0,2,0,586.8,17,3.44,1080,2,4.3,4,0
2.09,1.92,53,53,0,1561.37,1748.5,1,1,0,2,1,1,29.9,17,2.8,969,0,5.8,6,0
2.74,3.17,38,40,2,4229.39,1143.87,0,0,0,1,1,0,96.0,26,3.37,1219,4,14.5,5,0
3.17,3.17,46,48,0,6719.06,2608.44,1,0,0,1,0,1,13.8,17,4.0,1331,4,2.2,6,1
3.29,3.09,35,38,1,431.55,10698.57,0,1,0,2,2,1,111.8,22,2.74,1214,4,3.8,3,0
2.63,2.85,37,39,1,13343.74,3413.18,1,0,1,6,2,1,24.2,17,3.05,1099,3,1.2,4,0
2.84,2.5,37,40,3,10618.78,1090.34,1,0,1,5,2,0,57.0,21,3.08,1134,1,1.9,7,0
4.0,3.73,62,63,1,3731.04,1819.9,0,1,0,0,0,1,170.6,23,2.32,995,0,8.9,8,0
2.83,3.17,47,48,0,5605.75,5755.96,0,1,0,2,1,1,371.4,21,2.92,1273,0,37.4,7,0
2.28,3.19,46,51,0,1187.28,162.56,0,1,0,2,1,0,219.4,17,3.15,1096,6,0.5,4,0
3.32,3.04,60,64,1,2815.41,1535.68,1,1,1,2,1,0,9.2,18,3.04,856,7,7.0,1,0
2.74,2.81,37,41,0,31774.88,3521.99,1,0,0,2,3,1,25.5,17,3.61,1158,4,17.5,4,0
1.97,2.44,29,33,1,2925.48,4273.29,0,0,0,2,3,1,29.4,23,2.37,870,3,16.1,3,0
1.46,1.84,59,62,4,3232.0,2853.55,1,1,0,0,0,0,38.4,17,3.65,1096,6,4.5,8,1
2.46,2.43,46,49,2,10760.91,2413.51,0,0,1,2,1,1,68.9,17,3.19,912,3,3.5,7,0
3.43,3.26,42,45,3,2420.04,4585.69,0,0,0,3,2,1,15.7,21,2.87,1269,1,8.0,3,0
3.24,2.96,48,50,1,854.12,7921.71,0,0,0,3,1,1,141.1,19,3.23,996,3,0.1,3,0
3.36,2.64,49,52,1,11666.86,6383.37,1,1,1,1,1,1,76.2,17,3.85,1359,4,7.1,1,0
2.32,2.62,44,46,3,1875.25,2084.62,1,0,0,3,0,1,231.2,23,3.7,1220,7,5.0,5,0
3.47,3.41,56,58,2,21892.28,4221.86,0,1,1,1,2,0,156.4,21,2.89,1144,2,10.1,6,0
2.96,3.18,45,49,0,11130.24,1906.02,1,1,1,2,2,1,44.3,17,3.52,1286,3,2.6,5,0
2.2,2.63,31,32,0,2742.6,818.39,1,0,1,2,1,0,441.4,20,2.45,1153,3,0.2,5,0
4.0,3.72,40,43,0,2455.17,6036.92,0,0,1,2,1,0,400.2,18,2.23,904,2,3.1,2,0
2.37,2.83,32,33,1,10468.88,1777.98,0,1,1,0,0,0,63.0,20,3.02,871,6,7.3,6,1
2.7,2.66,39,41,1,45530.67,1469.71,0,1,0,0,3,0,276.2,24,3.0,1127,3,8.8,3,0
3.86,3.35,52,58,2,911.67,2656.54,0,0,1,0,2,0,196.6,17,3.18,1147,2,12.0,2,1
4.0,3.49,50,52,1,7588.74,4780.81,1,0,1,2,1,1,39.4,22,3.26,1036,3,4.2,6,0
2.66,3.6,46,50,2,2349.4,317.45,0,1,0,1,0,0,9.3,19,3.59,1004,2,3.4,7,0
3.35,3.04,51,53,1,20740.45,5716.71,0,1,0,3,0,1,6.7,18,3.07,942,2,24.4,5,0
3.5,3.35,48,48,1,763.38,318.55,0,0,1,0,3,1,160.8,20,2.77,862,4,2.9,4,0
3.41,3.66,51,54,1,3449.43,6106.56,1,0,1,0,0,1,42.2,23,4.0,1178,3,9.7,2,0
2.5,2.69,49,53,2,10931.24,272.45,1,1,0,2,1,1,21.6,23,3.15,1169,3,0.3,4,1
3.16,3.64,41,45,1,12748.63,607.17,0,0,0,0,0,1,105.1,17,3.54,961,4,6.9,2,0
1.96,2.62,35,37,4,1729.47,3185.8,1,1,0,3,0,0,32.4,17,3.17,1097,3,3.2,7,1
1.86,2.13,49,53,1,20604.56,1514.85,1,0,0,1,1,1,58.9,24,3.64,1102,7,5.3,4,0
3.54,2.96,46,50,1,2216.37,129.5,0,0,0,1,0,1,26.8,22,3.9,1433,1,0.9,7,0
4.0,3.18,44,50,1,2918.34,3835.5,1,0,0,2,3,1,142.2,26,3.4,1108,1,1.6,0,0
2.84,2.3,46,49,2,16308.21,2033.84,1,1,1,1,1,1,254.1,17,3.52,1365,2,16.3,5,1
1.25,2.68,56,60,0,6201.87,99.8,0,0,0,2,0,1,9.0,17,3.29,1112,1,1.2,2,0
2.64,3.14,41,44,1,4481.61,1105.98,0,0,0,2,1,0,110.6,21,3.27,1171,3,4.4,2,0
2.25,2.84,44,46,2,4173.06,493.66,1,1,1,1,2,1,5.0,17,3.27,907,7,2.7,7,0
2.92,2.9,39,43,1,42783.92,4147.59,1,1,0,0,0,1,10.3,18,3.89,1370,5,1.7,5,1
2.62,2.41,43,44,3,7335.45,1593.93,0,0,0,2,1,0,59.9,19,3.43,1158,2,4.3,5,0
4.0,3.63,43,44,1,6971.0,1026.88,1,1,0,0,1,0,28.0,17,2.88,1054,5,15.7,4,0
2.48,3.14,39,43,1,7549.63,155.66,0,0,1,1,3,1,33.6,22,2.71,987,0,0.2,3,0
2.96,3.39,45,47,2,15824.37,4616.54,0,1,1,1,0,1,13.0,17,2.99,974,2,16.7,4,0
3.0,3.13,54,56,3,16652.41,2942.07,0,0,0,0,3,0,10.9,17,2.63,858,2,11.2,5,0
2.73,3.15,41,44,1,2192.36,2176.47,0,0,1,1,1,1,47.7,17,3.58,1216,2,8.4,5,0
3.02,2.71,44,47,1,11234.64,3221.56,0,1,0,1,2,0,81.0,27,3.39,819,1,5.6,2,0
2.97,3.59,49,51,1,1861.97,1271.11,0,1,1,2,1,1,108.2,17,2.84,1015,1,6.8,4,0
3.45,3.23,35,36,2,5392.14,5697.11,0,1,1,2,1,0,110.0,19,2.69,968,4,35.1,2,0
2.37,2.0,39,42,2,14277.79,1634.37,0,0,0,2,0,0,260.9,18,3.59,1188,2,10.3,2,1
2.1,2.39,42,43,2,1513.5,932.84,0,0,0,1,1,1,266.1,19,3.05,932,2,15.4,8,0
4.0,3.29,42,47,0,2293.4,1122.66,0,0,0,0,1,1,16.0,17,2.94,1241,2,8.6,7,0
3.34,2.5,46,52,1,8048.68,2750.49,0,1,0,1,1,0,69.5,18,3.36,1113,8,3.7,4,1
1.95,3.15,46,49,1,4238.37,606.07,0,0,1,0,1,1,35.0,18,3.95,1173,2,4.0,5,0
2.11,2.45,44,47,2,9451.05,736.44,1,0,1,3,1,0,48.7,17,2.39,787,3,2.9,4,1
2.22,2.74,39,43,0,999.21,1379.59,1,1,0,2,2,1,42.2,22,3.06,818,1,17.3,4,0
3.1,2.72,43,44,0,5294.53,6377.12,1,1,0,0,1,1,55.3,18,3.07,1200,6,1.9,5,1
0.89,1.84,46,48,0,2909.83,156.66,1,1,0,1,0,1,70.2,24,3.8,979,3,14.1,1,0
2.15,2.07,45,45,2,50000.0,364.48,0,0,0,1,0,0,201.1,17,2.88,1371,9,2.2,3,1
0.43,2.11,45,51,2,9802.79,829.73,1,0,0,3,2,0,12.6,21,3.35,873,4,0.8,6,0
3.39,2.98,45,50,1,14355.76,714.4,0,1,1,1,0,1,225.2,19,3.25,1145,4,3.7,5,0
3.42,3.02,38,40,1,1195.19,83.53,1,0,1,1,2,1,9.0,18,3.79,1040,4,22.9,3,0
2.23,2.28,40,43,3,6956.39,4188.34,0,0,1,3,2,0,113.5,17,2.24,893,3,1.2,3,0
2.66,2.99,49,50,4,4522.33,616.41,0,0,0,0,0,1,8.1,21,3.01,1072,3,7.5,4,0
2.25,2.66,44,50,0,2655.42,1640.49,0,0,1,1,1,1,468.9,22,3.37,818,4,10.1,2,0
2.42,2.33,42,46,0,37343.46,2224.68,1,1,0,0,0,1,93.8,17,2.99,1327,8,12.2,3,0
1.79,2.49,32,35,1,20259.25,3301.41,0,1,1,0,1,1,12.1,18,2.83,905,7,1.0,2,1
1.91,1.97,48,55,3,6205.42,10200.69,0,1,0,1,1,1,16.0,17,4.0,1299,4,4.0,1,1
2.23,2.53,45,49,2,7564.6,632.43,0,0,0,2,3,1,285.6,20,3.57,795,3,4.1,4,0
2.82,2.82,38,43,1,14278.97,1189.98,0,0,0,3,1,0,146.1,17,3.34,723,2,7.3,4,0
2.43,2.88,53,53,2,3788.82,4306.0,0,1,0,1,2,1,35.7,24,3.57,1214,0,0.8,4,0
1.69,2.32,39,43,2,4391.87,6480.74,0,0,0,0,0,1,60.3,17,4.0,1187,3,17.9,0,0
3.43,3.14,47,50,0,4078.15,5470.76,1,1,0,1,1,0,17.7,20,3.55,1049,1,3.7,4,0
4.0,3.97,43,49,2,23120.75,4066.29,0,0,0,0,0,1,554.7,17,3.02,1050,5,1.4,3,0
3.5,2.79,51,55,0,24243.75,5181.34,0,1,0,3,0,1,127.8,23,3.08,899,1,0.8,5,1
2.4,2.21,41,43,2,2794.08,3868.43,1,0,1,1,1,1,164.0,19,3.27,1055,5,0.7,9,0
1.79,2.34,42,47,0,4486.91,3037.65,0,0,1,4,2,1,670.6,17,3.81,1165,3,3.9,3,0
2.92,2.99,41,42,0,8778.74,1568.99,0,1,1,2,1,1,347.2,17,3.21,1098,3,0.2,5,1
3.81,2.81,47,48,1,965.13,106.19,1,0,1,1,0,0,194.9,24,3.47,1111,1,2.1,5,1
2.75,2.86,52,57,4,4105.05,3024.41,0,0,0,2,3,1,95.7,17,2.72,938,5,2.8,2,0
2.59,2.74,34,37,1,5911.62,3184.15,1,0,0,1,1,0,15.0,20,3.23,945,2,23.8,3,0
3.08,3.09,49,55,1,3463.02,2409.83,0,0,0,0,1,1,189.7,17,3.84,1161,6,3.4,4,0
1.4,2.17,46,46,0,2597.03,2189.17,0,0,1,1,1,0,104.9,21,4.0,958,1,6.3,8,0
2.38,2.47,38,41,1,6907.15,2410.71,0,1,1,2,1,0,63.5,17,2.21,1025,5,2.6,6,0
2.17,2.62,53,56,0,1840.27,2249.04,0,0,0,4,0,0,23.1,20,2.94,963,3,4.8,1,1
1.79,2.25,49,54,1,4960.51,1664.26,0,0,0,3,1,1,22.9,18,3.56,1195,4,11.4,1,0
2.55,2.89,59,61,2,5243.75,2238.52,1,1,0,0,2,0,343.4,17,2.84,729,0,3.0,8,0
2.26,2.58,45,48,0,65000.0,176.75,0,1,0,2,3,1,46.0,17,2.46,943,0,2.8,2,0
4.0,3.21,44,47,0,5865.8,4608.67,0,0,1,1,0,1,87.4,24,3.23,952,2,13.2,4,0
3.4,3.39,39,46,1,10276.16,5069.02,0,0,0,2,1,0,5.0,17,3.06,769,3,0.7,5,0
2.09,2.72,52,55,0,544.95,3231.02,0,0,0,1,3,0,92.8,17,3.35,1165,2,6.6,9,0
